model,imbalance,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,status
VotingSoft_top3,mixed,0.7437012707623787,0.012072944416183298,0.5109857638942954,0.014892689602866539,0.7953177257525084,0.02918718960437651,0.6221167495986689,0.018548560272823398,ok
LogReg_TUNED,smote,0.7394399693617505,0.012258956232181033,0.5057128814111663,0.014878903212449045,0.7946488294314382,0.027055181827634382,0.6180547310105796,0.018918836205814926,ok
LogReg,smote,0.7453003226157249,0.013505854994531925,0.5131632646536475,0.017260465734157116,0.7926421404682273,0.03006315057423979,0.6228386695908099,0.0195551737236463,ok
LogReg,class_weight,0.7429929976469699,0.01492815326595761,0.5103148688483861,0.018688692202828507,0.7919732441471572,0.027449210071816995,0.6205901712537355,0.020779690149005457,ok
RandomForest_TUNED,smote,0.7605639707423628,0.011252055550876586,0.5335647325566207,0.01573986269763797,0.7832775919732442,0.030754686107217797,0.6344506332890536,0.01626451980232162,ok
SVM_RBF,class_weight,0.7502691091109391,0.01150530779340735,0.5201534987336849,0.015577724445553514,0.773913043478261,0.03492381935038559,0.621757665904443,0.016408448119819504,ok
SVM_RBF,smote,0.752398814186266,0.012461164659720136,0.5234886539722792,0.017208295940047687,0.7612040133779264,0.039322912258726625,0.6198214637537014,0.0180709112250777,ok
KNN,smote,0.7323399017495638,0.0035348093050748056,0.4970487202427476,0.0045815402958504165,0.720401337792642,0.008873912482556248,0.5881999187176723,0.004158422346876508,ok
XGBoost,smote,0.7847027821863165,0.011253111677662556,0.5762232514170968,0.018201985005142186,0.71438127090301,0.02762792833185738,0.6377289026591055,0.01941422510484375,ok
RandomForest,smote,0.7772474747872737,0.008767265848084462,0.5759965672272351,0.016680989609321337,0.6093645484949833,0.019547343406290944,0.592103934770009,0.016150525147226563,ok
XGBoost,class_weight,0.8006770674908313,0.011047611469642143,0.6563973785488241,0.032291497680252364,0.5250836120401338,0.02529454234272779,0.5829310653444816,0.021972898298423985,ok
KNN,class_weight,0.7807982966141898,0.01317272683287343,0.6039789916521502,0.03237834307061123,0.5103678929765887,0.024992029019758385,0.5527305883955653,0.023083184811201023,ok
RandomForest,class_weight,0.7882526583882453,0.009851332039200434,0.6323708672809149,0.029163675783332427,0.48561872909699,0.013610026721990496,0.5490839095041384,0.016047715384025076,ok
