model,imbalance,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
LogReg,class_weight,0.748670372465922,0.015357928465896908,0.5171479805426882,0.01897841633048838,0.8013377926421403,0.037932968237479145,0.6284221923639708,0.02332036824957916
LogReg,smote,0.7568358442303479,0.012442256810919245,0.5281710879883266,0.016291499336004236,0.7859531772575251,0.037660704375275585,0.6315254341215745,0.020665884658161347
SVM_RBF,class_weight,0.748138143202296,0.010802963431108096,0.5170275645236598,0.013600892441821633,0.7719063545150501,0.03286453109441673,0.6190990983807476,0.01830937623727896
SVM_RBF,smote,0.7687261328193336,0.010252946815370804,0.5486425548873044,0.013732736673724636,0.7210702341137123,0.03649011825280497,0.6229854334457581,0.021619953030758643
KNN,class_weight,0.763578465597375,0.0069254114459592125,0.5578731800010553,0.016401376301913306,0.5311036789297658,0.014866963726349734,0.5438353678846674,0.00805724070962379
KNN,smote,0.6890312229610355,0.012255135905158044,0.4483507459926601,0.01282275366818871,0.7404682274247492,0.015772342638865053,0.5583558832114331,0.010880569703681803
RandomForest,class_weight,0.789494579204761,0.012543501516402001,0.6401304354721349,0.03342258268145056,0.4735785953177257,0.022144408504678064,0.5442510826631042,0.025278778264967872
RandomForest,smote,0.7839921450084397,0.010734335320456522,0.5987031696178488,0.022091337080067764,0.5645484949832775,0.02841038204895695,0.5808886248935428,0.022945914613266907
XGBoost,class_weight,0.7985464167905173,0.013335949059567878,0.6533352247802757,0.03381170784132572,0.5143812709030101,0.03210702341137122,0.5751829485193225,0.02932753513222927
XGBoost,smote,0.7948193935076542,0.009008344257278497,0.6163203716767638,0.021188860901622298,0.6033444816053513,0.019107500812154805,0.6094729067307056,0.014914121948996483
